PDB,resolution,year,-logKd/Ki,Kd/Ki,ligand name
5obr,2.62,2017,5.36,Ki=4.4uM,5obj
5ol3,1.58,2018,5.36,Kd=4.32uM,5ol3
5q0l,2.50,2017,5.36,IC50=4.36uM,5q0i
5t4e,1.77,2016,5.36,IC50=4376nM,5t4b
6afe,1.50,2018,5.36,Kd=4.4uM,6af5
6cer,2.69,2018,5.36,Kd=4.39uM,6cer
6chq,1.79,2018,5.36,IC50=4.4uM,6chl
6erv,2.06,2018,5.36,Kd=4.32uM,6erv
6erw,1.89,2018,5.36,Kd=4.32uM,6erw
6fu1,1.55,2019,5.36,IC50=4.4uM,6fu1
6gu3,2.65,2018,5.36,Kd=4400nM,6gu2
6m8b,1.80,2019,5.36,IC50=4.4uM,6m8b
6os5,1.66,2019,5.36,Kd=4.4uM,6os3
6p7q,1.66,2019,5.36,Kd=4.4uM,6p7p
6uyz,1.40,2019,5.36,Kd=4.4uM,6uys
1gpk,2.10,2002,5.37,Ki=4.3uM,1gpk
1sgu,1.90,2004,5.37,Ki=4235nM,1sgu
2glm,2.60,2007,5.37,Ki=4.3uM,2gll
2h2d,1.70,2006,5.37,Kd=4.3uM,2h2d
2hj4,1.80,2007,5.37,Kd=4.29uM,2hj4
2oc1,2.70,2007,5.37,Ki=4.3uM,2obo
3chf,1.95,2008,5.37,IC50=4.3uM,3ch9
3lqj,1.90,2010,5.37,Kd=4.3uM,3lqi
3qt6,2.05,2011,5.37,Ki=4.3uM,3qt6
3wmb,2.70,2014,5.37,Ki=4.28uM,3wmb
4dpy,2.14,2012,5.37,Ki=4.3uM,4dpt
4du8,2.10,2012,5.37,Ki=4.3uM,4dpt
4el5,2.00,2012,5.37,Ki=4.3uM,4ej2
4g0k,2.56,2012,5.37,Kd=4.3uM,4g0k
4lke,1.65,2013,5.37,Kd=4.3uM,4lkd
4lkf,1.64,2013,5.37,Kd=4.3uM,4lkd
4oow,2.57,2014,5.37,IC50=4.3uM,4oow
4xc2,1.90,2015,5.37,Kd=4.3uM,4xc2
5cdh,2.00,2016,5.37,Ki=4.3uM,5cdh
5dpw,2.19,2016,5.37,Kd=4.22uM,5dpw
5etn,1.40,2016,5.37,Kd=4.3uM,5etk
5jdi,1.38,2016,5.37,IC50=4.3uM,5jcj
5uci,2.70,2018,5.37,Kd=4.27uM,5uc4
6aee,3.30,2019,5.37,Kd=4.28uM,6aee
6ap6,1.65,2018,5.37,Kd=4.3uM,6ap6
6cb5,1.78,2018,5.37,Ki=4.3uM,6cb5
6e5g,2.43,2019,5.37,IC50=4.3uM,6e5g
6eyb,1.90,2018,5.37,Kd=4.22uM,6ei5
6g15,1.65,2018,5.37,Kd=4.31uM,6g0z
6imr,1.50,2019,5.37,IC50=4.3uM,6im6
6n0j,1.79,2019,5.37,Kd=4.3uM,6n0j
1g3e,1.80,2001,5.38,Ki=4.2uM,1g3e
1hs6,1.95,2001,5.38,IC50=4.2uM,1hs6
1ke0,2.30,2002,5.38,Ki=4.2uM,1ke0
1thr,2.30,1994,5.38,IC50=4.2uM,1thr
2h2j,2.45,2006,5.38,Kd=4.2uM,2h2j
2lty,NMR,2012,5.38,Kd=4.2uM,2ltv
2m0o,NMR,2013,5.38,Kd=4.2uM,2m0o
2ohu,2.35,2007,5.38,IC50=4.2uM,2ohp
2qhd,1.95,2007,5.38,Kd=4.2uM,2qhd
2vd7,2.25,2007,5.38,IC50=4.2uM,2vd7
2xke,2.20,2010,5.38,IC50=4.2uM,2xk3
3e85,1.95,2009,5.38,Kd=4.2uM,3e85
3sw9,3.05,2011,5.38,Kd=4.2uM,3svm
3tif,1.80,2012,5.38,Kd=4.2uM,3tif
3tww,2.00,2011,5.38,Kd=4.2uM,3twr
3ud8,2.37,2012,5.38,Kd=4.13uM,3ud7
3zyb,2.29,2011,5.38,Kd=4.2uM,3zyb
4ebv,1.67,2012,5.38,IC50=4.2uM,4ebv
4f7v,1.73,2012,5.38,Kd=4.16uM,4f7v
4hlw,2.50,2013,5.38,IC50=4.2uM,4hlw
4kz0,2.87,2013,5.38,IC50=4.2uM,4kz0
4qvw,3.00,2015,5.38,IC50=4.138uM,4qux
4umq,2.60,2014,5.38,IC50=4.2uM,4d2p
5mek,1.74,2017,5.38,Kd=4.2uM,5mek
6baw,2.70,2018,5.38,Kd=4.2uM,5vyy
6g8m,2.70,2018,5.38,IC50=4.18uM,6g7f
6n8y,1.55,2019,5.38,Kd=4.2uM,6n8x
6olx,1.44,2019,5.38,Kd=4.2uM,6n8x
6pyb,1.80,2019,5.38,IC50=4200nM,6pya
1hy7,1.50,2002,5.39,IC50=4.09uM,1hy7
1kyn,3.50,2002,5.39,IC50=4.1uM,1kyn
1qbv,1.80,1999,5.39,Ki=4100nM,1qbv
1uyi,2.00,2004,5.39,IC50=4.1uM,1uyi
2h6b,2.20,2006,5.39,Kd=4.1uM,2h6b
2ltx,NMR,2012,5.39,Kd=4.1uM,2ltv
2v22,2.60,2008,5.39,IC50=4.1uM,2v22
2wic,2.05,2010,5.39,Kd=4.1uM,2wib
2xpa,1.90,2011,5.39,IC50=4.1uM,2xp3
3e37,1.80,2009,5.39,IC50=4.05uM,3e30
3fc8,1.85,2009,5.39,IC50=4.1uM,3fc8
3fzc,2.00,2010,5.39,Ki=4.1uM,3fv7
3hkt,2.36,2009,5.39,Ki=4.1uM,3hkt
3hxb,2.25,2009,5.39,IC50=4.1uM,3hxb
3m1k,1.35,2010,5.39,Ki=4.1uM,3m1k
3so6,1.37,2012,5.39,Kd=4.1uM,3so6
3tgs,2.70,2012,5.39,Kd=4.1uM,3tgs
3vjt,2.00,2012,5.39,IC50=4.1uM,3vjs
4btm,2.54,2013,5.39,Kd=4.1uM,4btj
4cl6,2.41,2015,5.39,Kd=4.05uM,4cl6
4ej8,2.35,2013,5.39,Kd=4.1uM,4ej8
4hxr,1.53,2013,5.39,IC50=4.1uM,4hxk
4hxs,1.43,2013,5.39,IC50=4.1uM,4hxk
4z88,2.09,2015,5.39,Kd=4.1uM,4z88
5chk,2.20,2016,5.39,Kd=4.12uM,5chk
5e1d,1.45,2015,5.39,Kd=4.1uM,5e1b
5exx,3.31,2016,5.39,Kd=4.1uM,5exs
5i83,1.35,2016,5.39,IC50=4.1uM,5i83
5kbi,2.90,2016,5.39,Kd=4.12uM,5kbe
5o9r,1.70,2018,5.39,Kd=4.09uM,5o9o
6f08,1.90,2018,5.39,Kd=4.06uM,6f08
6ggb,1.32,2019,5.39,Kd=4.1uM,6ggb
6ggf,1.32,2019,5.39,Kd=4.1uM,6ggf
6ma2,2.10,2018,5.39,Kd=4.1uM,6ma1
1bp0,2.40,2000,5.40,Kd=4.0uM,1bp0
1bq3,2.70,1998,5.40,Ki=4uM,1bq3
1f8b,1.80,2001,5.40,Ki=4.0uM,1f8b
1m7i,2.50,2003,5.40,Kd=4.0uM,1m7i
1mmr,2.40,1996,5.40,Ki=4.0uM,1mmr
1mxu,1.80,2003,5.40,IC50=4.0uM,1mxu
1my3,1.75,2003,5.40,IC50=4.0uM,1my3
1nym,1.20,2003,5.40,Ki=4.0uM,1nym
1ow6,2.35,2003,5.40,Kd=4uM,1ow6
1ow7,2.60,2003,5.40,Kd=4uM,1ow6
1ow8,2.85,2003,5.40,Kd=4uM,1ow6
1pz5,1.80,2003,5.40,Kd=4uM,1pz5
1r9l,1.59,2004,5.40,Kd=4uM,1r9l
1t1r,2.30,2004,5.40,IC50=4uM,1t1r
1trd,2.50,1993,5.40,Ki=4uM,1trd
1tv6,2.80,2004,5.40,IC50=4uM,1tv6
1uu9,1.95,2004,5.40,IC50=4uM,1uu9
1uvs,2.80,1997,5.40,Ki=4uM,1uvs
1yi3,2.50,2005,5.40,IC50=4.0uM,1yi3
2c1p,2.00,2006,5.40,Kd=4uM,2c1p
2f35,1.87,2006,5.40,Kd=3.94uM,2f35
2g24,1.90,2006,5.40,IC50=4uM,2g24
2i80,2.19,2006,5.40,Ki=4uM,2i80
2jdm,1.70,2007,5.40,Kd=3.96uM,2jdm
2qg2,1.80,2008,5.40,Ki=4.0uM,2qf6
2wzz,1.57,2010,5.40,IC50=4.0uM,2wzx
3arr,1.65,2011,5.40,Kd=4.0uM,3arp
3b4p,1.70,2008,5.40,Kd=4.0uM,3b4p
3gwx,2.40,2000,5.40,IC50=4.0uM,3gwx
3ken,2.50,2010,5.40,IC50=4uM,3ken
3l6h,2.30,2010,5.40,Kd=4uM,3l6g
3m57,1.70,2010,5.40,Kd=4.0uM,3m53
3pch,2.05,1998,5.40,Ki=4uM,3pch
3pma,2.20,2011,5.40,Kd=4uM,3pma
3qcl,2.40,2011,5.40,IC50=4.0uM,3qce
3rk5,2.00,2012,5.40,IC50=4.0uM,3qqk
4aph,1.99,2012,5.40,Ki=4.0uM,4aph
4c5d,2.30,2014,5.40,Kd=4.0uM,4c52
4ij1,1.79,2013,5.40,Ki=4uM,4giu
4jlh,2.09,2013,5.40,IC50=4.0uM,4gvm
4m3p,1.90,2014,5.40,Kd=4uM,4m3p
4nwd,2.60,2014,5.40,Ki=3.96uM,4nwc
4ozj,1.45,2014,5.40,Kd=4uM,4ozj
4ozn,2.60,2014,5.40,Kd=4uM,4ozj
4pin,1.90,2014,5.40,Kd=4uM,4pin
4rqz,2.40,2015,5.40,Kd=4.0uM,4rqz
5anq,2.00,2016,5.40,IC50=3.98uM,5anq
5ep7,1.20,2016,5.40,Kd=4uM,5eic
5eqp,2.35,2016,5.40,Kd=4uM,5eqe
5fjw,2.80,2015,5.40,Kd=4uM,5fjw
5fns,1.79,2016,5.40,Kd=4uM,5fnq
5jiq,1.45,2016,5.40,IC50=4uM,5jid
5jsj,2.35,2017,5.40,Kd=4uM,5jsg
5l9o,1.84,2016,5.40,Kd=4uM,5l9g
5lax,2.60,2016,5.40,IC50=4uM,5jlz
5lsg,2.00,2017,5.40,Kd=4uM,5lsg
5m2v,3.18,2017,5.40,Ki=4.0uM,5m2v
5mqe,1.65,2017,5.40,Kd=4uM,5mpz
5o1i,1.40,2018,5.40,Kd=4uM,5o1a
5tef,1.95,2016,5.40,Kd=4.0uM,5tef
5yid,2.10,2018,5.40,Ki=4.0uM,5yia
6bj2,3.35,2018,5.40,Kd=4uM,6bj2
6c3u,1.85,2018,5.40,Kd=4.0uM,5wep
6ny0,1.40,2019,5.40,Ki=4.0uM,6nxz
6r1d,1.10,2019,5.40,Ki=4uM,6r0q
6s43,1.42,2019,5.40,IC50=4.0uM,6s43
1dzm,1.93,2000,5.41,IC50=3.9uM,1dzm
1u2r,2.60,2004,5.41,Kd=3.9uM,1u2r
1xxe,NMR,2004,5.41,Ki=3.9uM,1xxe
1y3a,2.50,2005,5.41,Kd=3.9uM,1y3a
2aia,1.70,2005,5.41,IC50=3.9uM,2aia
2j47,1.98,2006,5.41,Ki=3.9uM,2j47
2mps,NMR,2015,5.41,Kd=3.9uM,2mps
3arn,1.80,2010,5.41,IC50=3.9uM,3arn
3gqo,2.60,2009,5.41,Kd=3.9uM,3gpo
3kai,1.90,2009,5.41,IC50=3.9uM,3kab
3tjh,2.12,2011,5.41,Kd=3.9uM,3tf7
4dro,1.10,2012,5.41,IC50=3.9uM,4drk
4drp,1.80,2012,5.41,IC50=3.9uM,4drk
4fgt,2.00,2013,5.41,Kd=3.92uM,4fgt
4kmd,1.70,2013,5.41,Kd=3.86uM,4kmd
4lwt,1.60,2014,5.41,IC50=3.9uM,4lwt
4m3d,1.90,2014,5.41,IC50=3.9uM,4m3b
4tun,1.93,2014,5.41,Kd=3.87uM,4tun
4u6z,1.80,2015,5.41,Ki=3.9uM,4u1b
4uma,1.76,2014,5.41,Ki=3.9uM,4uma
5a4l,2.73,2016,5.41,IC50=3.9uM,5a3x
5cbs,1.80,2015,5.41,Kd=3.90uM,5cbr
5etm,1.46,2016,5.41,Kd=3.9uM,5etk
5ey9,2.50,2015,5.41,Kd=3.87uM,5ey8
5lt6,2.05,2016,5.41,IC50=3.9uM,5lss
5m7t,2.60,2017,5.41,Ki=3.9uM,5m7s
5mqx,NMR,2018,5.41,Kd=3.9uM,5mqx
5mym,2.28,2017,5.41,IC50=3.9uM,5mxv
5u13,1.95,2017,5.41,Kd=3.9uM,5u0v
5u5t,1.60,2017,5.41,IC50=3.9uM,5u5h
5xs8,1.95,2018,5.41,Kd=3.86uM,5xs8
5yv5,2.10,2018,5.41,Kd=3.9uM,5yv5
6aff,1.60,2018,5.41,Kd=3.9uM,6af5
6mil,1.93,2018,5.41,Kd=3.9uM,6mil
6mm2,1.04,2019,5.41,Kd=3.92uM,6mm2
1abf,1.90,1993,5.42,Kd=3.8uM,1abf
1gja,1.56,2002,5.42,Ki=3.8uM,1gja
1h9z,2.50,2001,5.42,Kd=3.8uM,1h9z
1nu8,2.50,2003,5.42,Kd=3.8uM,1nu8
1p28,1.70,2003,5.42,Kd=3.8uM,1p28
1r5n,2.90,2004,5.42,Kd=3.8uM,1r5n
1xot,2.34,2004,5.42,IC50=3.8uM,1xot
2a3w,2.20,2005,5.42,IC50=3.8uM,2a3w
2qnz,2.30,2008,5.42,IC50=3.8uM,2qnx
2vpo,1.80,2008,5.42,Kd=3.8uM,2vpn
2wa8,2.15,2009,5.42,Kd=3.8uM,2w9r
3l4t,1.90,2010,5.42,Ki=3.8uM,3l4t
3ob1,2.20,2010,5.42,Kd=3.83uM,3ob1
3qci,2.27,2011,5.42,IC50=3.8uM,3qce
3rl4,1.29,2011,5.42,IC50=3800nM,3rl3
4fev,1.89,2012,5.42,Ki=3.8uM,4ej7
4nxv,2.30,2013,5.42,Kd=3.8uM,4nxu
4uxj,3.00,2015,5.42,IC50=3.8uM,4uxh
5ab1,1.96,2016,5.42,IC50=3.8uM,5ab1
5iz9,2.93,2017,5.42,Ki=3.80uM,5b6g
5zdg,2.59,2019,5.42,Kd=3.76uM,5zdb
6cjh,3.60,2018,5.42,IC50=3.8uM,6cj5
6d8v,2.80,2019,5.42,Kd=3.8uM,6d8v
6hgg,1.79,2019,5.42,Kd=3.8uM,6hgd
6mso,2.05,2019,5.42,IC50=3.8uM,6msn
6n96,1.70,2019,5.42,Ki=3.8uM,6n96
6ott,2.55,2019,5.42,Kd=3.8uM,6ott
1fq7,2.80,2000,5.43,Ki=3.74uM,1fq7
1fw0,1.90,2000,5.43,Ki=3690nM,1fw0
1y98,2.50,2005,5.43,Kd=3.7uM,1y98
2qln,2.15,2008,5.43,Ki=3.7uM,2qln
2qu2,2.60,2008,5.43,IC50=3.7uM,2qu2
3ivv,1.25,2009,5.43,Kd=3.7uM,3hqi
3k0k,2.70,2010,5.43,Ki=3.7uM,3k05
3k5f,2.25,2010,5.43,IC50=3.7uM,3k5d
3ng4,1.73,2010,5.43,Kd=3.7uM,3ng4
3qlc,2.50,2011,5.43,Kd=3.7uM,3qlc
3s7f,2.85,2011,5.43,Kd=3.7uM,3s7b
4b60,1.83,2013,5.43,Kd=3.7uM,4b60
4f5y,2.40,2012,5.43,Kd=3.70uM,4f5y
4ofb,3.05,2015,5.43,Kd=3.7uM,4ofb
4p2t,2.15,2014,5.43,IC50=3.7uM,4p2t
4pnc,1.54,2014,5.43,IC50=3.7uM,4pnc
4pox,2.29,2014,5.43,Kd=3.7uM,4pow
4tmp,2.30,2014,5.43,Kd=3.7uM,4tmp
4xta,2.50,2015,5.43,IC50=3.7uM,4xta
5agr,1.30,2016,5.43,Kd=3.7uM,5agr
5e1o,2.00,2015,5.43,Kd=3.7uM,5e1b
5ksx,2.65,2017,5.43,IC50=3.7uM,5juz
6a6w,2.60,2018,5.43,Kd=3.7uM,5yc2
6afd,1.48,2018,5.43,Kd=3.7uM,6af5
6oag,2.30,2019,5.43,IC50=3.7uM,6n7y
6q9y,1.20,2019,5.43,IC50=3700nM,6q96
1a4q,1.90,1999,5.44,IC50=3.6uM,1a4q
1dzp,1.83,2000,5.44,IC50=3.6uM,1dzp
1h0a,1.70,2002,5.44,Kd=3.6uM,1h0a
1ijr,2.20,2002,5.44,IC50=3.6uM,1ijr
1syi,2.10,2005,5.44,Ki=3590nM,1syi
2q6f,2.00,2008,5.44,Ki=3.6uM,2q6f
2wr8,1.77,2009,5.44,Ki=3.6uM,2wr8
3ggc,2.78,2009,5.44,Ki=3.6uM,3gep
3gs7,1.80,2009,5.44,IC50=3.6uM,3glz
3lp7,2.04,2010,5.44,Kd=3.6uM,3kv2
3p2h,2.00,2011,5.44,Kd=3.6uM,3p2h
3pty,2.00,2010,5.44,Kd=3.65uM,3pty
3run,1.40,2012,5.44,Kd=3.6uM,3rul
3u10,2.30,2011,5.44,Kd=3.6uM,3u0z
4bdk,3.30,2013,5.44,IC50=3.6uM,4bda
4dju,1.80,2012,5.44,Ki=3.6uM,4dju
4fli,1.55,2012,5.44,IC50=3.59uM,4fli
4j26,2.30,2013,5.44,Ki=3.64uM,4j24
4mgb,1.85,2014,5.44,Kd=3.67uM,4mg5
4osf,1.62,2014,5.44,IC50=3.6uM,3wnr
4qz1,3.00,2015,5.44,IC50=3.658uM,4qux
4rsp,1.62,2015,5.44,Ki=3.6uM,4rsp
4tju,1.57,2014,5.44,IC50=3.6uM,4pml
5ave,1.80,2016,5.44,Kd=3.6uM,5ave
5e3a,2.05,2016,5.44,Kd=3.6uM,5e2q
5tbn,NMR,2016,5.44,Kd=3.6uM,5tbn
5tp0,1.25,2017,5.44,Ki=3.66uM,5tp0
5uxm,1.54,2018,5.44,Kd=3.6uM,5uxm
6buu,2.40,2018,5.44,Ki=3.6uM,6buu
6csf,3.30,2019,5.44,Kd=3.6uM,6cse
6d1u,2.05,2018,5.44,Ki=3.63uM,6d1u
6fau,1.25,2018,5.44,Kd=3.6uM,6fau
6gnr,1.40,2018,5.44,Kd=3.61uM,6gnm
6n3y,1.80,2019,5.44,Kd=3.65uM,6n3v
6r1b,2.27,2019,5.44,Kd=3.6uM,6r1b
6tl2,3.80,2019,5.44,Ki=3.6uM,6tl2
2iko,1.90,2006,5.45,Kd=3571nM,2iko
3mi3,2.38,2010,5.45,Ki=3.56uM,3mi3
3my1,2.80,2010,5.45,IC50=3.58uM,3my1
4mp2,1.75,2014,5.45,Kd=3570nM,4mp2
6om4,1.70,2019,5.45,Kd=3.58uM,6om4
1anf,1.67,1997,5.46,Ki=3.5uM,1anf
1b4h,1.90,1998,5.46,Kd=3.44uM,1b4h
1lf8,2.30,2002,5.46,Kd=3.5uM,1lf8
1lv8,2.30,2003,5.46,Kd=3.5uM,1lv8
1nnk,1.85,2003,5.46,IC50=3.5uM,1nnk
1q65,2.10,2004,5.46,Ki=3.5uM,1q65
2cn8,2.70,2006,5.46,IC50=3.5uM,2cn8
2fie,2.81,2006,5.46,IC50=3.5uM,2fie
2gg9,1.05,2006,5.46,IC50=3.5uM,2gg0
2y4k,2.45,2011,5.46,Kd=3.5uM,2y4j
3gbq,NMR,1997,5.46,Kd=3.5uM,2gbq
3piz,2.21,2011,5.46,IC50=3.5uM,3pix
3s22,1.65,2011,5.46,IC50=3.5uM,3s22
4gw5,2.20,2013,5.46,Kd=3.5uM,4gw1
4jft,2.10,2013,5.46,Ki=3.5uM,4jfs
4kot,1.55,2013,5.46,Kd=3.5uM,4klv
4mvn,1.70,2014,5.46,Ki=3.5uM,4mvn
4qz0,3.00,2015,5.46,IC50=3.502uM,4qux
4zly,1.65,2015,5.46,IC50=3.5uM,4z3v
5dtw,2.44,2016,5.46,Kd=3.5uM,5dtw
5mnr,1.25,2017,5.46,Kd=3.44uM,5mnr
5nka,1.38,2017,5.46,Kd=3.5uM,5njz
5owa,1.95,2018,5.46,Kd=3.5uM,5mwg
5txy,1.21,2017,5.46,Kd=3.5uM,5txy
5ty8,1.45,2017,5.46,Kd=3.5uM,5txy
5xag,2.56,2018,5.46,IC50=3.5uM,5xag
5ye7,2.31,2018,5.46,IC50=3431nM,5ye7
6ak4,2.80,2019,5.46,IC50=3.5uM,6aej
6dcy,2.08,2018,5.46,IC50=3.5uM,6dcy
6dzx,1.68,2019,5.46,Kd=3.5uM,6dzx
6ekq,1.65,2018,5.46,Kd=3.5uM,5mwg
6gdy,2.04,2019,5.46,Kd=3.5uM,6gdy
6nxz,1.75,2019,5.46,Ki=3.5uM,6nxz
6t1n,1.95,2019,5.46,Kd=3.5uM,6t1i
1g7f,1.80,2001,5.47,Ki=3.4uM,1g7f
1gi1,1.42,2002,5.47,Ki=3.4uM,1gi1
1nlo,NMR,1997,5.47,Kd=3.4uM,1nlo
1o2s,1.65,2003,5.47,Ki=3.4uM,1o2s
1xh5,2.05,2005,5.47,Kd=3400nM,1xh5
2hf8,2.10,2006,5.47,Kd=3.4uM,2hf8
2hz4,2.80,2007,5.47,IC50=3425nM,2hyy
2r0z,2.10,2007,5.47,Kd=3.4uM,2ipu
2xde,1.40,2010,5.47,Kd=3.42uM,2xde
2y7p,1.85,2011,5.47,Kd=3.4uM,2y7k
3pd2,1.86,2010,5.47,Kd=3.4uM,3pd2
3t3y,2.00,2012,5.47,IC50=3.4uM,3t3y
4j77,1.76,2013,5.47,Kd=3.4uM,4j73
4jmu,2.00,2013,5.47,IC50=3.4uM,4jmu
4n6g,2.14,2014,5.47,Kd=3.4uM,4n6g
4n7j,1.67,2013,5.47,Kd=3.4uM,4n5d
4n7m,2.12,2013,5.47,Kd=3.4uM,4n5d
4qb3,.94,2015,5.47,Kd=3.4uM,4qb3
4rrq,1.79,2015,5.47,Kd=3.4uM,4rr6
4x3e,2.30,2015,5.47,Kd=3.4uM,4x3e
4xcb,1.60,2015,5.47,Kd=3.4uM,4xac
5fb0,2.70,2016,5.47,Kd=3.4uM,5fb0
5gu4,1.55,2016,5.47,Kd=3.4uM,5gu4
5nn5,2.00,2017,5.47,Ki=3.4uM,5nn4
5o4s,1.75,2018,5.47,IC50=3.4uM,5mwg
5u0f,1.21,2017,5.47,Kd=3.4uM,5txy
6c7w,1.28,2018,5.47,Ki=3410nM,6c7w
6dgo,3.10,2019,5.47,Kd=3.36uM,6dgl
6gfm,2.77,2019,5.47,Kd=3.4uM,6gfm
6i74,0.96,2019,5.47,Kd=3.4uM,6i74
1g85,1.80,2002,5.48,Kd=3.3uM,1g85
1uh1,2.80,2003,5.48,Kd=3.3uM,1uh1
2cbv,1.95,2006,5.48,Kd=3.3uM,2cbv
2co0,2.25,2006,5.48,Kd=3.3uM,2co0
2nww,3.20,2007,5.48,IC50=3.3uM,2nwl
2qic,2.10,2008,5.48,Kd=3.3uM,2qic
2qyk,2.10,2008,5.48,IC50=3.3uM,2qyk
2wxd,1.60,2010,5.48,IC50=3.3uM,2wxd
2zkj,2.00,2008,5.48,Kd=3.3uM,2zkj
3bxe,1.80,2008,5.48,Kd=3.34uM,2okg
3d2r,2.03,2008,5.48,Kd=3.3uM,2zkj
3iw6,2.10,2009,5.48,Kd=3.29uM,3iw5
3m58,1.40,2010,5.48,Kd=3.3uM,3m53
3qch,2.40,2011,5.48,IC50=3.3uM,3qce
3vp1,2.30,2012,5.48,IC50=3.3uM,3vp1
3zdv,1.41,2013,5.48,Kd=3.3uM,3zdv
4c5w,1.70,2014,5.48,IC50=3.3uM,4bg1
4d2r,2.10,2015,5.48,IC50=3.3uM,4d2r
4ie4,2.50,2013,5.48,IC50=3.3uM,4idz
4ifi,2.20,2013,5.48,Kd=3.34uM,4ifi
4jfm,1.02,2013,5.48,Kd=3.3uM,4jfi
4kp8,1.80,2013,5.48,Kd=3330nM,4kni
4n7h,1.70,2014,5.48,Kd=3.3uM,4n7h
4oq6,1.81,2014,5.48,IC50=3.3uM,4oq5
4pf5,2.04,2014,5.48,Kd=3.3uM,4pf5
4qfg,3.46,2014,5.48,Kd=3.3uM,4qfg
4tmf,2.05,2015,5.48,IC50=3.3uM,4tmf
4uc5,2.19,2015,5.48,Kd=3.3uM,4uc5
4x8p,2.20,2015,5.48,Kd=3.3uM,4x8n
4y6r,1.90,2015,5.48,IC50=3.3uM,4y67
4ycu,2.10,2015,5.48,Kd=3.3uM,4ycu
5alx,2.23,2015,5.48,IC50=3.277uM,5ai0
5aqz,1.65,2016,5.48,Kd=3.3uM,5aqz
5hrw,1.80,2016,5.48,Kd=3.3uM,5hrv
5ii1,2.02,2016,5.48,Kd=3.3uM,5hrv
5iv4,1.79,2016,5.48,IC50=3.3uM,5iv3
5jnc,2.00,2017,5.48,Kd=3.3uM,5jn8
5lkr,2.52,2016,5.48,IC50=3.306uM,5lkr
5mav,2.58,2017,5.48,Kd=3.3uM,5mav
5vwk,2.35,2017,5.48,Kd=3.3uM,5vwi
5xvw,1.85,2018,5.48,Kd=3.29uM,5xvw
5yib,2.15,2018,5.48,Ki=3.3uM,5yia
5zxk,1.96,2019,5.48,Kd=3.3uM,5zxk
6dd0,1.50,2019,5.48,Ki=3.3uM,6d15
6fgc,1.50,2019,5.48,Kd=3.3uM,6fgc
6grp,1.60,2018,5.48,Kd=3.34uM,6gnm
1pot,1.80,1996,5.49,Kd=3.2uM,1pot
1pyn,2.20,2003,5.49,Ki=3.2uM,1pyn
1tys,1.80,1994,5.49,Kd=3.27uM,1tys
1uef,2.50,2004,5.49,Kd=3.2uM,1uef
2h4k,2.30,2006,5.49,Ki=3.2uM,2h4k
2ioa,2.80,2006,5.49,Ki=3.2uM,2ioa
2o0u,2.10,2007,5.49,Ki=3.2uM,2o0u
2qtr,1.70,2008,5.49,Kd=3.2uM,2qtn
2r3y,2.50,2007,5.49,Kd=3.2uM,2r3y
2uy5,1.60,2007,5.49,Ki=3.2uM,2uy3
3bmq,1.70,2008,5.49,Ki=3.2uM,3bmc
3bvb,1.30,2008,5.49,Kd=3.2uM,3bva
3ga5,1.87,2009,5.49,Kd=3.2uM,3ga5
3h0b,2.70,2009,5.49,IC50=3.2uM,3h0b
3hmp,2.30,2010,5.49,Kd=3.24uM,3hmn
3i73,2.40,2010,5.49,Kd=3.23uM,3i4l
3mvj,2.49,2010,5.49,IC50=3200nM,3mv5
3sgx,2.45,2012,5.49,IC50=3.2uM,3sgt
3t3g,2.40,2012,5.49,Ki=3.27uM,3t3d
3tz4,2.25,2012,5.49,Kd=3.2uM,3tz4
4f6s,2.60,2013,5.49,Kd=3.24uM,4f6s
4knx,1.90,2014,5.49,IC50=3.2uM,4knr
4lv3,1.42,2014,5.49,Ki=3.2uM,4lv0
4tq3,2.41,2014,5.49,Kd=3.2uM,4tq3
4u7v,1.38,2015,5.49,Ki=3.2uM,4u7q
4uvb,2.80,2014,5.49,IC50=3.26uM,4uv8
4w9f,2.10,2014,5.49,Kd=3.27uM,4w9c
4zs2,2.16,2015,5.49,IC50=3.23uM,4zs2
5avf,1.95,2016,5.49,Kd=3.2uM,5ave
5tg2,1.75,2017,5.49,IC50=3.2uM,5tg1
5tq1,1.49,2017,5.49,Kd=3.21uM,5tq1
5w6u,2.88,2017,5.49,Kd=3230nM,5w5s
5xzr,2.80,2017,5.49,IC50=3.27uM,5xzr
6a5e,2.77,2019,5.49,Kd=3.21uM,6a5e
6af9,1.39,2018,5.49,Kd=3.2uM,6af5
6afa,1.65,2018,5.49,Kd=3.2uM,6af5
6cen,1.61,2018,5.49,IC50=3.2uM,6cen
6f29,2.60,2018,5.49,Ki=3.25uM,6f28
6g14,1.80,2018,5.49,Kd=3.26uM,6g0z
6g91,1.80,2018,5.49,IC50=3200nM,6g8x
6h7d,2.40,2019,5.49,Ki=3.2uM,6h7d
6qr2,1.55,2019,5.49,Kd=3.2uM,6qr2
2ajb,2.75,2006,5.50,Ki=3.14uM,2ajb
2y58,3.25,2011,5.50,Kd=3.16uM,2y54
3c1n,2.72,2008,5.50,Kd=3.13uM,3c1n
3lfn,2.28,2010,5.50,IC50=3160nM,3lau
3tza,1.90,2011,5.50,Ki=3.15uM,3tza
4nni,2.64,2014,5.50,Kd=3.13uM,4nni
4rt0,1.80,2015,5.50,Kd=3.13uM,4rt0
